source,target,id,developer_comments
tip_title#000,Shinpei Ajiro,tip_title#000,網代慎平
tip_explanation#000,"Born May 8, 2000. 18 years old. Blood type O.
He was born the eldest son of the Ajiro family of underwater archaeologists,
but lost his parents in an accident at age 8. Alan Kofune became his foster father.
Influenced by Alan and his daughter Ushio, he discovered a passion for cooking and moved to Tokyo after middle school.
He currently attends a culinary school where he can also earn his high school diploma.
His specialty is chicken curry.
Influenced by his biological father, he has loved books since childhood,
particularly mysteries and sci-fi. His favorite author is Ryunosuke Nagumo.
He has a habit of taking a step back to view things objectively from a bird's-eye perspective.
He is afraid of water and cannot swim.",tip_explanation#000,網代慎平
tip_title#001,Appoke,tip_title#001,あっぽけ
tip_explanation#001,"A Wakayama dialect word meaning ""idiot"" or ""dummy.""
Rather than a harsh insult, it's a somewhat softer expression
that is often used playfully between close friends.",tip_explanation#001,あっぽけ
tip_title#002,Amenonuhoko,tip_title#002,天沼矛
tip_explanation#002,"A sacred treasure of the Hitogashima Shrine.
It shares its name with the spear used to create the land in Japanese mythology.
According to the shrine's history, it has been passed down for over several millennia,
and it is said that the drops from this spear birthed the island of Onogoro.
The spearhead is forged from rust-proof meteoric iron,
and while intended for ceremonial use, it possesses high lethal force.
The handle portion has been remade numerous times over the years;
the current one was crafted from oak during the Edo period.",tip_explanation#002,天沼矛
tip_title#003,Alan's Garden,tip_title#003,アランの畑
tip_explanation#003,"A private vegetable garden located on the way from Restaurant Kofune to Mt. Takanosu.
Tended to with a meticulous focus on the soil itself,
the fresh vegetables harvested here are one of the secrets to Kofune's flavor.",tip_explanation#003,アランの畑
tip_title#004,Event Flyer,tip_title#004,案内チラシ
tip_explanation#004,"A secret live concert featuring popular idol
and Hitogashima Island native, Kaori Koyumiba!
There will also be a talk show and a handshake event!
Locals and visitors alike are all welcome to join us!

Date/Time: July 24, 2018, starting at 20:00~
Location: Special Stage on the Hitogashima Shrine Grounds
Sponsors: Hitogashima Chamber of Commerce
Hitogashima Shrine

* Participants for the handshake event will be selected by lottery.",tip_explanation#004,案内チラシ
tip_title#005,Event Horizon,tip_title#005,事象の地平線
tip_explanation#005,"The observational boundary.
It refers to a cliff-like concept that steadily closes in with each loop.
It represents the limit of the scope where a do-over is possible on the timeline,
creeping up behind Shinpei as time flows forward.
The further away this cliff is, the more time he has to try again;
the closer it gets, the less leeway he has left.
If this cliff catches up to him and he falls, Shinpei's death will be finalized,
and from then on, the timeline observed by Haine will become cemented
as objective reality.",tip_explanation#005,事象の地平線
tip_title#006,Ushio's Present ①,tip_title#006,潮からのプレゼント①
tip_explanation#006,"A present given to him by Ushio in a dream.
However, he doesn't know what it is yet.",tip_explanation#006,潮からのプレゼント①
tip_title#007,Ushio's Present ②,tip_title#007,潮からのプレゼント②
tip_explanation#007,"14 years ago, the shock of eating Ryunosuke caused Haine to panic,
and her persona as the human girl Hoine separated from Hiruko's body.
The mud comprising the right eye she took then drifted in the sea for years,
eventually copying Ushio in a chance encounter.
After maturing and awakening as the Observer's right eye, it transcended time
to be handed over to Shinpei.
It marked the end of everything, and the beginning as well.",tip_explanation#007,潮からのプレゼント②
tip_title#008,Ushio's Shadow ①,tip_title#008,潮の影①
tip_explanation#008,"July 18th. A beach cleanup drive was held at Omoto Beach,
the coastline spreading out in front of Restaurant Kofune.
It was an event to collect trash in preparation for a local Hitogashima Island ritual.
While participating, Ushio and Mio spotted a young girl standing on the rocks.
Her appearance was purportedly a dead ringer for Ushio.",tip_explanation#008,潮の影①
tip_title#009,Ushio's Shadow ②,tip_title#009,潮の影②
tip_explanation#009,"July 24th. The Summer Festival, Hitogashima Island's biggest event, was held.
Catching a glimpse of a woman who looked like Ushio, Shinpei left Mio and the others behind
and instinctively ran after her.
Though he lost sight of her in the crowd, after making his way to Omoto Beach,
Shinpei reunited with the Ushio who was supposed to be dead.
Unable to recall her own death, nor even the reason why she was there,
Ushio innocently confessed her feelings to Shinpei.",tip_explanation#009,潮の影②
tip_title#010,Ushio's Smartphone,tip_title#010,潮のスマホ
tip_explanation#010,"A smartphone received from the police officer Totsumura.
He claimed Ushio handed it over to him the day before she died.
It's locked with a password, so its contents cannot be viewed.",tip_explanation#010,潮のスマホ
tip_title#011,Ushio's Necklace,tip_title#011,潮のネックレス
tip_explanation#011,"Made from a seashell that Shinpei gifted her back in elementary school.
It seems she cherished it greatly, as it has been carefully maintained.
Ushio was apparently wearing it right up until the accident.",tip_explanation#011,潮のネックレス
